disease,SnoRNA,Score
53,75,0.9828537079989544
9,75,0.9828537079989544
29,168,0.9827533994493496
34,28,0.9827485759930608
21,111,0.9827084598556228
21,62,0.9827084598556228
91,1,0.9826744599875252
82,8,0.9826645995519864
42,303,0.9826621633935332
54,71,0.9826206373090328
42,185,0.982578586444136
23,122,0.9825617702443212
53,122,0.9825617702443212
91,59,0.9825462626240608
54,325,0.9824897053594204
21,133,0.9824870049211152
21,104,0.9823980581135716
57,31,0.9823519277840762
57,43,0.9823519277840762
57,32,0.9823519277840762
57,42,0.9823519277840762
57,41,0.9823519277840762
21,98,0.9823019400245354
21,118,0.9823019400245354
21,228,0.9822219082933856
21,21,0.9822219082933856
72,30,0.982206946810794
72,32,0.982206946810794
42,88,0.9821946109042254
11,58,0.982047517840118
11,151,0.982047517840118
54,207,0.982007205815398
54,330,0.982007205815398
54,211,0.982007205815398
29,63,0.9819890932706944
53,74,0.9819865914843284
29,201,0.9819678688151388
42,225,0.9819574592844806
42,333,0.9819574592844806
74,1,0.9819388912989346
91,102,0.981938601990021
82,102,0.981938601990021
53,79,0.9819130023550772
53,90,0.9819130023550772
34,177,0.9818983024378511
54,261,0.98183568948359
54,260,0.98183568948359
42,238,0.9818258758113372
110,128,0.9818044422355158
108,33,0.9817814234703784
108,43,0.9817814234703784
108,31,0.9817814234703784
108,37,0.9817814234703784
108,44,0.9817814234703784
108,45,0.9817814234703784
108,41,0.9817814234703784
108,42,0.9817814234703784
98,27,0.9817737859513168
84,27,0.9817737859513168
42,208,0.9817531620059498
54,8,0.98171704562922
54,40,0.98171704562922
54,127,0.98171704562922
13,37,0.9816883063427018
13,33,0.9816883063427018
13,42,0.9816883063427018
13,44,0.9816883063427018
13,45,0.9816883063427018
34,196,0.9815493398633806
91,152,0.9814336477670796
82,152,0.9814336477670796
82,20,0.9814336477670796
91,20,0.9814336477670796
9,59,0.9814273522982124
23,59,0.9814273522982124
91,219,0.9813691969918358
110,321,0.9813439229718756
42,11,0.9811780432987964
57,44,0.9811744917795056
82,222,0.981142868052626
32,44,0.9811017477279516
39,1,0.9810953317419068
69,32,0.981069620398311
68,32,0.981069620398311
11,28,0.9810636046677674
82,271,0.981026160487762
23,271,0.981026160487762
53,271,0.981026160487762
70,32,0.9809443398376684
42,71,0.9809282847097004
99,102,0.9807530285254
23,32,0.980743460934831
82,334,0.980743460934831
53,334,0.980743460934831
91,334,0.980743460934831
53,32,0.980743460934831
